,Airline,Source,Destination,Additional_Info,Total_Stops,Price,Part_of_day_Arrival,Part_of_day_Dep
3616,IndiGo,Delhi,Cochin,No info,1 stop,5883,Mid-night,Late morning
3617,IndiGo,Delhi,Cochin,No info,1 stop,6442,Night,Late morning
3618,Jet Airways,Delhi,Cochin,In-flight meal not included,1 stop,10262,Evening,Evening
3619,SpiceJet,Kolkata,Banglore,No check-in baggage included,non-stop,3841,Evening,Evening
3620,Jet Airways,Delhi,Cochin,No info,1 stop,14714,Early morning,Night
3621,Air India,Delhi,Cochin,No info,1 stop,12415,Morning,Evening
3622,IndiGo,Delhi,Cochin,No info,1 stop,14871,Night,Early morning
3623,Air India,Delhi,Cochin,No info,2 stops,12497,Early morning,Early afternoon
3624,Jet Airways,Kolkata,Banglore,In-flight meal not included,1 stop,8529,Morning,Night
3625,Air India,Mumbai,Hyderabad,No info,1 stop,8065,Morning,Morning
3626,IndiGo,Kolkata,Banglore,No info,1 stop,11319,Early afternoon,Morning
3627,Jet Airways,Banglore,New Delhi,In-flight meal not included,1 stop,11087,Evening,Evening
3628,Multiple carriers,Delhi,Cochin,No info,1 stop,7888,Mid-night,Morning
3629,SpiceJet,Chennai,Kolkata,No info,non-stop,3597,Evening,Evening
3630,GoAir,Delhi,Cochin,No info,1 stop,5842,Early afternoon,Early morning
3631,Jet Airways,Delhi,Cochin,In-flight meal not included,1 stop,5406,Evening,Evening
3632,Jet Airways,Delhi,Cochin,No info,2 stops,12604,Evening,Evening
3633,Air India,Banglore,New Delhi,No info,2 stops,7664,Night,Early morning
3634,IndiGo,Banglore,New Delhi,No info,non-stop,7303,Night,Evening
3635,Jet Airways,Delhi,Cochin,In-flight meal not included,2 stops,9296,Early morning,Early morning
3636,Multiple carriers,Delhi,Cochin,No info,1 stop,7618,Night,Early morning
3637,SpiceJet,Banglore,Delhi,No info,non-stop,3971,Mid-night,Night
3638,Air India,Delhi,Cochin,No info,2 stops,11753,Early morning,Morning
3639,Multiple carriers,Delhi,Cochin,No info,1 stop,12717,Evening,Morning
3640,Air India,Delhi,Cochin,No info,2 stops,11228,Evening,Night
3641,IndiGo,Banglore,New Delhi,No info,non-stop,8855,Mid-night,Night
3642,IndiGo,Delhi,Cochin,No info,1 stop,6573,Mid-night,Evening
3643,Air India,Banglore,Delhi,No info,non-stop,5228,Night,Night
3644,IndiGo,Kolkata,Banglore,No info,non-stop,4174,Evening,Evening
3645,Jet Airways,Kolkata,Banglore,In-flight meal not included,1 stop,10844,Night,Late afternoon
3646,Air India,Delhi,Cochin,No info,1 stop,7480,Morning,Evening
3647,IndiGo,Delhi,Cochin,No info,1 stop,8025,Early morning,Mid-night
3648,Jet Airways,Mumbai,Hyderabad,In-flight meal not included,non-stop,4995,Morning,Early morning
3649,SpiceJet,Kolkata,Banglore,No info,1 stop,4649,Evening,Late afternoon
3650,IndiGo,Kolkata,Banglore,No info,1 stop,6218,Night,Evening
3651,SpiceJet,Kolkata,Banglore,No check-in baggage included,non-stop,3815,Evening,Evening
3652,Jet Airways,Delhi,Cochin,In-flight meal not included,2 stops,8728,Evening,Early afternoon
3653,Jet Airways,Kolkata,Banglore,No info,1 stop,13759,Night,Evening
3654,Air India,Delhi,Cochin,No info,1 stop,8669,Evening,Early morning
3655,IndiGo,Chennai,Kolkata,No info,non-stop,3850,Morning,Early morning
3656,Air India,Delhi,Cochin,No info,2 stops,10231,Evening,Night
3657,IndiGo,Delhi,Cochin,No info,1 stop,14871,Night,Late morning
3658,IndiGo,Mumbai,Hyderabad,No info,non-stop,4049,Early morning,Early morning
3659,Jet Airways,Mumbai,Hyderabad,In-flight meal not included,non-stop,4995,Late morning,Morning
3660,IndiGo,Banglore,Delhi,No info,non-stop,4823,Evening,Late afternoon
3661,Jet Airways,Kolkata,Banglore,No info,1 stop,14151,Evening,Evening
3662,SpiceJet,Banglore,New Delhi,No check-in baggage included,non-stop,3873,Night,Evening
3663,IndiGo,Mumbai,Hyderabad,No info,non-stop,4049,Evening,Evening
3664,Jet Airways,Mumbai,Hyderabad,No info,non-stop,5678,Morning,Early morning
3665,IndiGo,Kolkata,Banglore,No info,non-stop,4174,Evening,Late afternoon
3666,IndiGo,Chennai,Kolkata,No info,non-stop,3540,Early morning,Early morning
3667,Air India,Delhi,Cochin,No info,2 stops,11753,Early morning,Morning
3668,GoAir,Banglore,New Delhi,No info,non-stop,11111,Early afternoon,Late morning
3669,Jet Airways,Delhi,Cochin,In-flight meal not included,1 stop,10262,Morning,Morning
3670,SpiceJet,Chennai,Kolkata,No info,non-stop,3597,Evening,Evening
3671,Jet Airways,Delhi,Cochin,No info,2 stops,15129,Morning,Morning
3672,Jet Airways,Delhi,Cochin,In-flight meal not included,1 stop,12373,Morning,Evening
3673,Air India,Delhi,Cochin,No info,1 stop,22798,Morning,Morning
3674,Jet Airways,Kolkata,Banglore,In-flight meal not included,1 stop,7064,Evening,Late afternoon
3675,Multiple carriers,Delhi,Cochin,No info,1 stop,10197,Evening,Morning
3676,IndiGo,Chennai,Kolkata,No info,non-stop,6297,Night,Evening
3677,Jet Airways,Kolkata,Banglore,In-flight meal not included,1 stop,9663,Morning,Late afternoon
3678,Jet Airways,Kolkata,Banglore,No info,1 stop,13941,Morning,Evening
3679,IndiGo,Banglore,Delhi,No info,non-stop,4823,Night,Evening
3680,Jet Airways,Delhi,Cochin,No info,1 stop,17024,Evening,Evening
3681,IndiGo,Banglore,Delhi,No info,non-stop,4823,Night,Evening
3682,Air India,Delhi,Cochin,No info,1 stop,7468,Morning,Evening
3683,GoAir,Delhi,Cochin,No info,1 stop,5281,Morning,Early morning
3684,Multiple carriers,Delhi,Cochin,No info,1 stop,11142,Evening,Morning
3685,IndiGo,Delhi,Cochin,No info,1 stop,6818,Morning,Early morning
3686,Vistara,Kolkata,Banglore,No info,1 stop,8610,Evening,Early morning
3687,Jet Airways,Kolkata,Banglore,In-flight meal not included,1 stop,10844,Night,Evening
3688,Jet Airways,Mumbai,Hyderabad,No info,1 stop,19595,Late afternoon,Evening
3689,Jet Airways,Delhi,Cochin,In-flight meal not included,2 stops,13029,Morning,Morning
3690,Air India,Delhi,Cochin,No info,2 stops,10441,Evening,Night
3691,IndiGo,Chennai,Kolkata,No info,non-stop,3858,Late afternoon,Early afternoon
3692,Multiple carriers,Delhi,Cochin,No info,1 stop,7198,Mid-night,Early afternoon
3693,SpiceJet,Mumbai,Hyderabad,No info,non-stop,2017,Early afternoon,Early afternoon
3694,Vistara,Banglore,New Delhi,No info,non-stop,5403,Early afternoon,Late morning
3695,IndiGo,Banglore,New Delhi,No info,non-stop,7648,Late afternoon,Early afternoon
3696,Jet Airways,Kolkata,Banglore,No info,1 stop,13374,Early morning,Night
3697,Jet Airways,Kolkata,Banglore,In-flight meal not included,1 stop,10844,Night,Late afternoon
3698,IndiGo,Kolkata,Banglore,No info,non-stop,4804,Evening,Late afternoon
3699,Multiple carriers,Delhi,Cochin,No info,1 stop,13377,Mid-night,Late afternoon
3700,Multiple carriers,Delhi,Cochin,No info,1 stop,8018,Late afternoon,Early morning
3701,Jet Airways,Delhi,Cochin,No info,1 stop,16289,Evening,Late afternoon
3702,Jet Airways,Banglore,New Delhi,In-flight meal not included,1 stop,11087,Morning,Morning
3703,Jet Airways,Delhi,Cochin,In-flight meal not included,1 stop,10262,Evening,Mid-night
3704,Jet Airways,Kolkata,Banglore,In-flight meal not included,1 stop,8586,Morning,Evening
3705,IndiGo,Delhi,Cochin,No info,1 stop,6582,Morning,Early morning
3706,Jet Airways,Delhi,Cochin,No info,1 stop,16079,Evening,Mid-night
3707,Air Asia,Delhi,Cochin,No info,1 stop,6151,Late afternoon,Early morning
3708,Air India,Kolkata,Banglore,No info,1 stop,6117,Late morning,Evening
3709,IndiGo,Mumbai,Hyderabad,No info,non-stop,2754,Early afternoon,Morning
3710,Jet Airways,Kolkata,Banglore,No info,1 stop,13067,Night,Morning
3711,IndiGo,Kolkata,Banglore,No info,1 stop,11465,Early afternoon,Morning
3712,Vistara,Kolkata,Banglore,No info,1 stop,8452,Morning,Evening
3713,Jet Airways,Kolkata,Banglore,No info,1 stop,14231,Morning,Evening
3714,Air Asia,Kolkata,Banglore,No info,1 stop,5192,Night,Early morning
3715,Air India,Delhi,Cochin,No info,1 stop,8372,Evening,Morning
3716,Vistara,Banglore,New Delhi,No info,1 stop,12476,Morning,Early morning
3717,Jet Airways,Banglore,Delhi,In-flight meal not included,non-stop,4030,Night,Evening
3718,IndiGo,Delhi,Cochin,No info,1 stop,6628,Mid-night,Morning
3719,Multiple carriers,Delhi,Cochin,No info,1 stop,10197,Evening,Morning
3720,Air India,Delhi,Cochin,No info,2 stops,12646,Evening,Late afternoon
3721,IndiGo,Mumbai,Hyderabad,No info,non-stop,4784,Evening,Late afternoon
3722,Jet Airways,Delhi,Cochin,In-flight meal not included,1 stop,10262,Morning,Early afternoon
3723,IndiGo,Delhi,Cochin,No info,1 stop,5883,Mid-night,Morning
3724,Jet Airways,Banglore,Delhi,No info,non-stop,7229,Early afternoon,Late morning
3725,Air India,Delhi,Cochin,No info,2 stops,11753,Evening,Morning
3726,IndiGo,Kolkata,Banglore,No info,non-stop,4804,Night,Evening
3727,Multiple carriers,Delhi,Cochin,No info,1 stop,6805,Night,Early afternoon
3728,GoAir,Banglore,New Delhi,No info,non-stop,4340,Early afternoon,Late morning
3729,Jet Airways,Delhi,Cochin,In-flight meal not included,2 stops,10368,Morning,Morning
3730,Jet Airways,Delhi,Cochin,No info,2 stops,13014,Early morning,Early morning
3731,Air India,Kolkata,Banglore,No info,2 stops,14687,Early morning,Morning
3732,SpiceJet,Kolkata,Banglore,No info,non-stop,3873,Late morning,Morning
3733,SpiceJet,Banglore,Delhi,No info,non-stop,3971,Mid-night,Night
3734,IndiGo,Banglore,Delhi,No info,non-stop,3943,Mid-night,Night
3735,Air India,Delhi,Cochin,No info,non-stop,6094,Evening,Early afternoon
3736,Jet Airways,Delhi,Cochin,In-flight meal not included,1 stop,10262,Evening,Morning
3737,Multiple carriers,Delhi,Cochin,No info,2 stops,10090,Night,Morning
3738,Jet Airways,Banglore,Delhi,In-flight meal not included,non-stop,4030,Evening,Evening
3739,Jet Airways,Kolkata,Banglore,In-flight meal not included,1 stop,7064,Night,Late afternoon
3740,IndiGo,Mumbai,Hyderabad,No info,non-stop,4784,Early morning,Mid-night
3741,SpiceJet,Mumbai,Hyderabad,No info,non-stop,2227,Mid-night,Night
3742,IndiGo,Mumbai,Hyderabad,No info,non-stop,4392,Early morning,Early morning
3743,Jet Airways,Banglore,New Delhi,No info,1 stop,27992,Evening,Early afternoon
3744,Jet Airways,Banglore,New Delhi,In-flight meal not included,1 stop,7832,Morning,Early afternoon
3745,Air India,Delhi,Cochin,No info,1 stop,8669,Evening,Mid-night
3746,IndiGo,Banglore,Delhi,No info,non-stop,4823,Night,Evening
3747,Air India,Delhi,Cochin,No info,2 stops,8577,Early morning,Early afternoon
3748,Multiple carriers,Delhi,Cochin,In-flight meal not included,1 stop,7268,Evening,Late morning
3749,Air India,Kolkata,Banglore,No info,2 stops,15107,Morning,Early afternoon
3750,Jet Airways,Mumbai,Hyderabad,In-flight meal not included,non-stop,4050,Morning,Early morning
3751,IndiGo,Banglore,New Delhi,No info,1 stop,4437,Evening,Late afternoon
3752,Jet Airways,Kolkata,Banglore,No info,1 stop,13759,Night,Morning
3753,IndiGo,Delhi,Cochin,No info,1 stop,5065,Night,Late afternoon
3754,SpiceJet,Banglore,Delhi,No check-in baggage included,non-stop,4319,Morning,Early morning
3755,Jet Airways,Banglore,New Delhi,In-flight meal not included,1 stop,7832,Early morning,Early afternoon
3756,Air India,Kolkata,Banglore,No info,1 stop,8891,Early morning,Late afternoon
3757,Jet Airways,Delhi,Cochin,In-flight meal not included,2 stops,15812,Evening,Late morning
3758,Jet Airways,Delhi,Cochin,No info,2 stops,13882,Morning,Morning
3759,Multiple carriers,Delhi,Cochin,No info,1 stop,9042,Early afternoon,Early morning
3760,Air India,Kolkata,Banglore,No info,non-stop,5510,Late afternoon,Early afternoon
3761,IndiGo,Kolkata,Banglore,No info,non-stop,4804,Evening,Evening
3762,Multiple carriers,Delhi,Cochin,No info,1 stop,7887,Evening,Morning
3763,Jet Airways,Kolkata,Banglore,In-flight meal not included,1 stop,10844,Night,Night
3764,Vistara,Chennai,Kolkata,No info,non-stop,3687,Morning,Early morning
3765,Jet Airways,Delhi,Cochin,No info,1 stop,17024,Evening,Mid-night
3766,Jet Airways,Delhi,Cochin,No info,2 stops,12819,Evening,Early afternoon
3767,Multiple carriers,Delhi,Cochin,No info,2 stops,24528,Mid-night,Evening
3768,Jet Airways,Delhi,Cochin,In-flight meal not included,1 stop,14053,Evening,Evening
3769,IndiGo,Banglore,Delhi,No info,non-stop,4823,Night,Evening
3770,IndiGo,Delhi,Cochin,No info,1 stop,6307,Mid-night,Night
3771,IndiGo,Delhi,Cochin,No info,1 stop,6069,Night,Late afternoon
3772,Jet Airways,Delhi,Cochin,No info,1 stop,16079,Evening,Late afternoon
3773,IndiGo,Mumbai,Hyderabad,No info,non-stop,4392,Evening,Evening
3774,Air India,Kolkata,Banglore,No info,1 stop,11096,Evening,Early morning
3775,IndiGo,Delhi,Cochin,No info,1 stop,6628,Mid-night,Evening
3776,Air India,Banglore,New Delhi,No info,1 stop,6383,Night,Morning
3777,Vistara,Banglore,New Delhi,No info,non-stop,8553,Night,Evening
3778,Air India,Banglore,Delhi,No info,non-stop,5228,Morning,Morning
3779,Air India,Mumbai,Hyderabad,No info,non-stop,3100,Night,Night
3780,Jet Airways,Delhi,Cochin,No info,2 stops,13292,Early morning,Early morning
3781,Multiple carriers,Delhi,Cochin,No info,1 stop,7038,Late afternoon,Early morning
3782,Jet Airways,Delhi,Cochin,No info,non-stop,9564,Early afternoon,Late morning
3783,Air India,Banglore,New Delhi,No info,non-stop,8588,Morning,Morning
3784,Air India,Delhi,Cochin,No info,2 stops,12856,Evening,Evening
3785,Jet Airways,Kolkata,Banglore,No info,1 stop,14151,Night,Morning
3786,Jet Airways,Kolkata,Banglore,In-flight meal not included,1 stop,6959,Early morning,Evening
3787,Air India,Delhi,Cochin,No info,1 stop,6377,Evening,Early morning
3788,Multiple carriers,Delhi,Cochin,No info,1 stop,7198,Mid-night,Evening
3789,Jet Airways,Delhi,Cochin,In-flight meal not included,1 stop,5177,Evening,Early afternoon
3790,Jet Airways,Banglore,New Delhi,No info,1 stop,13817,Evening,Early morning
3791,Jet Airways,Delhi,Cochin,No info,2 stops,21219,Evening,Late morning
3792,Multiple carriers,Delhi,Cochin,No info,1 stop,13797,Night,Early morning
3793,IndiGo,Delhi,Cochin,No info,1 stop,7048,Mid-night,Morning
3794,Vistara,Banglore,Delhi,No info,non-stop,4878,Evening,Evening
3795,Jet Airways,Delhi,Cochin,In-flight meal not included,1 stop,11848,Early morning,Mid-night
3796,Jet Airways,Mumbai,Hyderabad,No info,non-stop,9536,Morning,Early morning
3797,IndiGo,Kolkata,Banglore,No info,1 stop,9413,Evening,Early afternoon
3798,IndiGo,Delhi,Cochin,No info,1 stop,12351,Mid-night,Evening
3799,Air India,Banglore,New Delhi,No info,2 stops,7664,Late afternoon,Early morning
3800,Jet Airways,Kolkata,Banglore,In-flight meal not included,1 stop,10031,Late afternoon,Morning
3801,Vistara,Banglore,Delhi,No info,non-stop,4668,Early afternoon,Late morning
3802,Air India,Kolkata,Banglore,No info,1 stop,10413,Evening,Evening
3803,Jet Airways,Kolkata,Banglore,No info,1 stop,14781,Evening,Morning
3804,Air Asia,Banglore,Delhi,No info,non-stop,3383,Early afternoon,Late morning
3805,GoAir,Delhi,Cochin,No info,1 stop,8213,Evening,Morning
3806,Multiple carriers,Delhi,Cochin,No info,1 stop,8073,Night,Early afternoon
3807,Multiple carriers,Delhi,Cochin,No info,1 stop,6145,Night,Early morning
3808,Jet Airways,Delhi,Cochin,No info,2 stops,18799,Evening,Early morning
3809,Jet Airways,Kolkata,Banglore,No info,1 stop,14151,Morning,Evening
3810,Jet Airways,Kolkata,Banglore,In-flight meal not included,1 stop,8529,Evening,Late afternoon
3811,Multiple carriers,Delhi,Cochin,No info,1 stop,13062,Night,Early afternoon
3812,Air India,Kolkata,Banglore,No info,non-stop,6245,Late afternoon,Early afternoon
3813,Jet Airways,Banglore,New Delhi,No info,1 stop,17471,Evening,Night
3814,Jet Airways,Delhi,Cochin,No info,1 stop,14714,Evening,Night
3815,Jet Airways,Mumbai,Hyderabad,No info,non-stop,5678,Early morning,Mid-night
3816,Multiple carriers,Delhi,Cochin,No info,1 stop,8266,Evening,Morning
3817,Air India,Delhi,Cochin,No info,non-stop,6881,Morning,Early morning
3818,Multiple carriers,Delhi,Cochin,No info,1 stop,7670,Night,Early morning
3819,SpiceJet,Kolkata,Banglore,No check-in baggage included,non-stop,3841,Mid-night,Night
3820,Jet Airways,Kolkata,Banglore,In-flight meal not included,1 stop,9663,Morning,Early morning
3821,Air India,Banglore,Delhi,No info,non-stop,5176,Morning,Morning
3822,IndiGo,Kolkata,Banglore,No info,non-stop,4488,Night,Evening
3823,IndiGo,Banglore,Delhi,No info,non-stop,3419,Early morning,Mid-night
3824,Air India,Kolkata,Banglore,No info,non-stop,5510,Late afternoon,Early afternoon
3825,Jet Airways,Mumbai,Hyderabad,In-flight meal not included,non-stop,4050,Early morning,Mid-night
3826,Jet Airways,Delhi,Cochin,In-flight meal not included,1 stop,12898,Early morning,Evening
3827,Jet Airways,Banglore,New Delhi,In-flight meal not included,1 stop,9134,Morning,Early morning
3828,Jet Airways,Delhi,Cochin,No info,2 stops,12273,Early morning,Early morning
3829,IndiGo,Kolkata,Banglore,No info,non-stop,4804,Evening,Evening
3830,Jet Airways,Banglore,New Delhi,No info,1 stop,25735,Evening,Night
3831,Multiple carriers,Delhi,Cochin,No info,1 stop,9021,Mid-night,Morning
3832,IndiGo,Chennai,Kolkata,No info,non-stop,6297,Morning,Early morning
3833,IndiGo,Delhi,Cochin,No info,2 stops,6494,Night,Morning
3834,Jet Airways,Kolkata,Banglore,No info,1 stop,14571,Morning,Evening
3835,Jet Airways,Kolkata,Banglore,No info,1 stop,13941,Morning,Evening
3836,SpiceJet,Banglore,Delhi,No info,non-stop,3971,Morning,Morning
3837,IndiGo,Delhi,Cochin,No info,1 stop,6093,Night,Early morning
3838,Air India,Delhi,Cochin,No info,non-stop,6304,Night,Evening
3839,Jet Airways,Kolkata,Banglore,No info,1 stop,14388,Morning,Night
3840,Jet Airways,Kolkata,Banglore,In-flight meal not included,1 stop,10844,Evening,Evening
3841,Multiple carriers,Delhi,Cochin,No info,1 stop,7531,Evening,Late morning
3842,Vistara,Kolkata,Banglore,No info,1 stop,11682,Morning,Early morning
3843,Jet Airways,Delhi,Cochin,In-flight meal not included,1 stop,11627,Early morning,Mid-night
3844,Air India,Kolkata,Banglore,No info,non-stop,4460,Night,Evening
3845,IndiGo,Banglore,New Delhi,No info,non-stop,6860,Early afternoon,Morning
3846,SpiceJet,Banglore,New Delhi,No info,non-stop,6860,Morning,Morning
3847,Multiple carriers,Delhi,Cochin,No info,1 stop,8266,Evening,Morning
3848,Jet Airways,Kolkata,Banglore,In-flight meal not included,1 stop,13469,Night,Morning
3849,IndiGo,Delhi,Cochin,No info,1 stop,14871,Late afternoon,Morning
3850,IndiGo,Delhi,Cochin,No info,1 stop,6827,Morning,Early morning
3851,Air India,Delhi,Cochin,No info,1 stop,8372,Evening,Early afternoon
3852,Multiple carriers,Delhi,Cochin,No info,1 stop,9646,Late afternoon,Morning
3853,IndiGo,Banglore,Delhi,No info,non-stop,4823,Night,Evening
3854,IndiGo,Banglore,Delhi,No info,non-stop,4823,Night,Evening
3855,Air India,Banglore,New Delhi,No info,1 stop,6781,Night,Morning
3856,Jet Airways,Kolkata,Banglore,In-flight meal not included,1 stop,8586,Morning,Late afternoon
3857,Air India,Banglore,New Delhi,1 Long layover,1 stop,10981,Morning,Evening
3858,IndiGo,Delhi,Cochin,No info,1 stop,6937,Mid-night,Night
3859,IndiGo,Mumbai,Hyderabad,No info,non-stop,4049,Early morning,Early morning
3860,Air Asia,Banglore,Delhi,No info,non-stop,7120,Mid-night,Night
3861,IndiGo,Kolkata,Banglore,No info,non-stop,4148,Mid-night,Night
3862,SpiceJet,Banglore,New Delhi,No info,non-stop,4945,Morning,Morning
3863,Jet Airways,Delhi,Cochin,In-flight meal not included,2 stops,9270,Evening,Morning
3864,Jet Airways,Banglore,Delhi,In-flight meal not included,non-stop,7229,Night,Evening
3865,Multiple carriers,Delhi,Cochin,No info,1 stop,15135,Evening,Morning
3866,IndiGo,Banglore,Delhi,No info,non-stop,4823,Night,Evening
3867,Air India,Mumbai,Hyderabad,No info,non-stop,3100,Night,Night
3868,SpiceJet,Banglore,Delhi,No check-in baggage included,non-stop,3573,Morning,Morning
3869,Jet Airways,Mumbai,Hyderabad,No info,non-stop,5678,Early morning,Mid-night
3870,Multiple carriers,Delhi,Cochin,No info,1 stop,7198,Mid-night,Morning
3871,Air India,Kolkata,Banglore,No info,1 stop,11306,Evening,Early morning
3872,SpiceJet,Banglore,Delhi,No check-in baggage included,non-stop,3573,Morning,Morning
3873,Multiple carriers,Delhi,Cochin,No info,1 stop,7155,Evening,Early morning
3874,Jet Airways,Delhi,Cochin,In-flight meal not included,1 stop,10262,Morning,Early afternoon
3875,Jet Airways,Banglore,New Delhi,1 Long layover,1 stop,31825,Morning,Night
3876,Multiple carriers,Delhi,Cochin,No info,1 stop,10877,Evening,Morning
3877,IndiGo,Mumbai,Hyderabad,No info,non-stop,2754,Early morning,Mid-night
3878,Jet Airways,Kolkata,Banglore,No info,1 stop,14571,Night,Early afternoon
3879,Vistara,Banglore,Delhi,No info,non-stop,5613,Morning,Morning
3880,Jet Airways,Mumbai,Hyderabad,In-flight meal not included,non-stop,3210,Night,Evening
3881,Jet Airways,Delhi,Cochin,No info,1 stop,17234,Evening,Late afternoon
3882,Multiple carriers,Delhi,Cochin,No info,1 stop,7670,Mid-night,Morning
3883,IndiGo,Kolkata,Banglore,No info,non-stop,4804,Mid-night,Night
3884,Multiple carriers,Delhi,Cochin,No info,1 stop,10877,Morning,Early morning
3885,Vistara,Banglore,Delhi,No info,non-stop,5613,Evening,Evening
3886,SpiceJet,Banglore,Delhi,No info,non-stop,3971,Morning,Morning
3887,Multiple carriers,Delhi,Cochin,No info,1 stop,7354,Evening,Morning
3888,Jet Airways,Mumbai,Hyderabad,No info,non-stop,5678,Night,Evening
3889,Multiple carriers,Delhi,Cochin,No info,1 stop,13587,Mid-night,Evening
3890,IndiGo,Kolkata,Banglore,No info,1 stop,3809,Night,Evening
3891,IndiGo,Delhi,Cochin,No info,2 stops,6494,Night,Early morning
3892,Jet Airways,Kolkata,Banglore,No info,1 stop,8781,Evening,Late morning
3893,Jet Airways,Kolkata,Banglore,No info,1 stop,14151,Morning,Morning
3894,SpiceJet,Kolkata,Banglore,No info,non-stop,3847,Evening,Evening
3895,Air India,Delhi,Cochin,No info,2 stops,11543,Early morning,Early morning
3896,Jet Airways,Banglore,Delhi,No info,non-stop,7229,Early afternoon,Late morning
3897,Jet Airways,Delhi,Cochin,No info,2 stops,13014,Morning,Evening
3898,Jet Airways,Mumbai,Hyderabad,In-flight meal not included,non-stop,3205,Late morning,Morning
3899,Air Asia,Kolkata,Banglore,No info,non-stop,3807,Morning,Morning
3900,IndiGo,Banglore,Delhi,No info,non-stop,3943,Early afternoon,Morning
3901,IndiGo,Delhi,Cochin,No info,1 stop,5458,Mid-night,Evening
3902,Air India,Delhi,Cochin,No info,2 stops,16163,Early morning,Early morning
3903,Jet Airways,Kolkata,Banglore,No info,1 stop,14231,Early morning,Late afternoon
3904,Air India,Kolkata,Banglore,No info,3 stops,15145,Night,Early morning
3905,SpiceJet,Kolkata,Banglore,No info,non-stop,3873,Mid-night,Night
3906,IndiGo,Banglore,Delhi,No info,non-stop,4823,Night,Evening
3907,IndiGo,Delhi,Cochin,No info,1 stop,5636,Early morning,Mid-night
3908,Vistara,Kolkata,Banglore,No info,1 stop,9345,Evening,Early morning
3909,IndiGo,Kolkata,Banglore,No info,non-stop,4804,Night,Evening
3910,Jet Airways,Kolkata,Banglore,In-flight meal not included,1 stop,11134,Morning,Evening
3911,Air India,Kolkata,Banglore,No info,1 stop,6117,Late morning,Evening
3912,Jet Airways,Kolkata,Banglore,In-flight meal not included,1 stop,7757,Morning,Evening
3913,Jet Airways,Kolkata,Banglore,No info,1 stop,13339,Late afternoon,Early morning
3914,IndiGo,Kolkata,Banglore,No info,non-stop,4804,Early morning,Early morning
3915,Air India,Banglore,Delhi,No info,non-stop,5228,Late afternoon,Early afternoon
3916,IndiGo,Delhi,Cochin,No info,1 stop,6979,Night,Morning
3917,Jet Airways,Banglore,Delhi,In-flight meal not included,non-stop,4030,Late morning,Morning
3918,Jet Airways,Delhi,Cochin,No info,2 stops,20747,Early morning,Evening
3919,Jet Airways,Kolkata,Banglore,In-flight meal not included,1 stop,11841,Morning,Night
3920,Multiple carriers,Delhi,Cochin,No info,1 stop,7354,Evening,Early morning
3921,Air India,Delhi,Cochin,No info,1 stop,7480,Morning,Evening
3922,GoAir,Delhi,Cochin,No info,1 stop,4692,Early afternoon,Early morning
3923,Jet Airways,Kolkata,Banglore,In-flight meal not included,1 stop,7826,Morning,Early morning
3924,Jet Airways,Kolkata,Banglore,In-flight meal not included,1 stop,7064,Late afternoon,Evening
3925,Jet Airways,Banglore,New Delhi,No info,1 stop,13817,Late morning,Night
3926,Multiple carriers,Delhi,Cochin,No info,1 stop,7354,Evening,Early morning
3927,Air Asia,Kolkata,Banglore,No info,1 stop,5192,Evening,Early morning
3928,IndiGo,Banglore,Delhi,No info,non-stop,3943,Mid-night,Night
3929,IndiGo,Kolkata,Banglore,No info,non-stop,4462,Evening,Late afternoon
3930,IndiGo,Kolkata,Banglore,No info,non-stop,4804,Mid-night,Night
3931,GoAir,Delhi,Cochin,No info,1 stop,5897,Morning,Early morning
3932,Multiple carriers,Delhi,Cochin,No info,1 stop,24318,Mid-night,Evening
3933,Jet Airways,Kolkata,Banglore,In-flight meal not included,1 stop,9663,Morning,Evening
3934,Jet Airways,Delhi,Cochin,In-flight meal not included,2 stops,10368,Evening,Early morning
3935,IndiGo,Delhi,Cochin,No info,1 stop,6442,Late afternoon,Early morning
3936,Jet Airways,Delhi,Cochin,No info,2 stops,16263,Early morning,Evening
3937,Multiple carriers,Delhi,Cochin,No info,1 stop,17703,Mid-night,Evening
3938,IndiGo,Chennai,Kolkata,No info,non-stop,4332,Early afternoon,Late morning
3939,GoAir,Kolkata,Banglore,No info,non-stop,3514,Evening,Late afternoon
3940,IndiGo,Kolkata,Banglore,No info,non-stop,4174,Mid-night,Night
3941,Multiple carriers,Delhi,Cochin,No info,1 stop,7695,Mid-night,Morning
3942,Jet Airways,Kolkata,Banglore,In-flight meal not included,1 stop,10703,Evening,Morning
3943,Air India,Delhi,Cochin,No info,2 stops,7711,Evening,Early morning
3944,IndiGo,Delhi,Cochin,No info,1 stop,6674,Late afternoon,Early morning
3945,Jet Airways,Banglore,Delhi,No info,non-stop,7229,Morning,Early morning
3946,SpiceJet,Kolkata,Banglore,No info,non-stop,3873,Late morning,Morning
3947,IndiGo,Chennai,Kolkata,No info,non-stop,3597,Evening,Early afternoon
3948,Air India,Delhi,Cochin,No info,1 stop,8907,Night,Morning
3949,Jet Airways,Kolkata,Banglore,No info,1 stop,13941,Early morning,Evening
3950,IndiGo,Delhi,Cochin,No info,1 stop,6442,Night,Late morning
3951,Jet Airways,Delhi,Cochin,No info,2 stops,12819,Morning,Early afternoon
3952,Air India,Kolkata,Banglore,No info,2 stops,15422,Early morning,Morning
